rep,divergence,mig_time,mig_rate,D,ABBA,BABA,FST_AB,FST_BC
7,intermediate,recent,low,0.018658379591863627,797.0219999999987,767.8244999999995,0.43179006040166246,0.4364453786727385
8,intermediate,recent,low,0.007458173247076943,799.1734999999991,787.3409999999994,0.4419682033868045,0.44288242684420215
9,intermediate,recent,low,0.03232638553092326,841.952625,789.2226249999999,0.438745357614673,0.4412944327387493
0,intermediate,recent,moderate,0.01676559788514216,815.0057499999995,788.12825,0.4541376251343681,0.4484872952474954
1,intermediate,recent,moderate,0.0706575311474881,828.1937499999998,718.8812499999997,0.44341904058848086,0.4429845235491737
2,intermediate,recent,moderate,0.009278680324437598,874.6784999999998,858.5960000000003,0.44450988013170856,0.44370191613483134
3,intermediate,recent,moderate,0.02223192457728843,789.0229999999992,754.7030000000001,0.4449439516750917,0.45598229836099285
4,intermediate,recent,moderate,0.0658063134152183,835.9014999999993,732.6789999999995,0.4411551478500552,0.44049524976158494
5,intermediate,recent,moderate,0.005326256167759362,834.0352499999995,825.1977499999996,0.44708339799948044,0.45001691435535485
6,intermediate,recent,moderate,-0.01369151312139748,875.170999999999,899.4684999999993,0.4496762348433898,0.44537363379237926
7,intermediate,recent,moderate,0.008953284248158177,802.7814999999995,788.5339999999995,0.4382003780269382,0.44074951019150715
8,intermediate,recent,moderate,0.05457023745944728,826.8687500000003,741.2937499999998,0.4445796614816952,0.4447235312334495
9,intermediate,recent,moderate,0.037835707521301554,807.1295000000002,748.2795000000001,0.44341605159746034,0.44584049598673753
0,intermediate,recent,high,0.04399198313844749,862.6072499999976,789.9097499999999,0.42475493581801427,0.4347514618743456
1,intermediate,recent,high,0.09116347612928201,888.152374999988,739.7473749999999,0.4125021363979312,0.4297216295795
2,intermediate,recent,high,0.07853303771477424,852.3864999999989,728.2539999999995,0.42822608875929147,0.43367438643023654
3,intermediate,recent,high,0.06203268181662089,907.7307499999902,801.69075,0.43393347436964297,0.4425848638747422
4,intermediate,recent,high,0.09614967511563864,960.2314999999999,791.7765,0.4262238174798708,0.43139258216899784
